trade_id,price,side,size,time
103,285.69,buy,0.01,2015-01-08T01:56:35.053154Z
104,299.34,sell,0.01,2015-01-08T01:57:19.192387Z
105,317.96,buy,0.01,2015-01-08T01:57:51.477072Z
106,337.79,sell,0.01,2015-01-08T01:58:18.164621Z
107,290.91,buy,0.01,2015-01-08T01:58:56.805881Z
108,343.03,sell,0.01,2015-01-08T01:59:14.184048Z
109,336.84,buy,0.01,2015-01-08T01:59:23.174931Z
110,283.25,sell,0.01,2015-01-08T01:59:58.594277Z
111,334.27,sell,0.01,2015-01-08T02:00:11.359345Z
112,336.87,sell,0.01,2015-01-08T02:00:51.576386Z
113,293.04,buy,0.01,2015-01-08T02:01:27.225628Z
114,334.52,sell,0.01,2015-01-08T02:01:33.913002Z
115,326.43,sell,0.01,2015-01-08T02:01:53.178116Z
116,293.59,buy,0.01,2015-01-08T02:01:59.127408Z
117,279.55,buy,0.01,2015-01-08T02:02:40.07708Z
118,344.94,buy,0.01,2015-01-08T02:03:22.924662Z
119,324.92,buy,0.01,2015-01-08T02:03:28.747023Z
120,344.53,buy,0.01,2015-01-08T02:04:14.219075Z
121,333.68,buy,0.01,2015-01-08T02:04:44.131921Z
122,298.82,buy,0.01,2015-01-08T02:05:23.896896Z
123,278.48,buy,0.01,2015-01-08T02:05:31.945714Z
124,301.6,buy,0.01,2015-01-08T02:05:53.624324Z
125,311.66,buy,0.01,2015-01-08T02:06:36.721947Z
126,308.48,sell,0.01,2015-01-08T02:07:04.071847Z
127,269.57,sell,0.01,2015-01-08T02:07:25.342072Z
128,294.66,buy,0.01,2015-01-08T02:08:02.598087Z
129,285.68,buy,0.01,2015-01-08T02:08:42.678076Z
130,298.1,sell,0.01,2015-01-08T02:09:21.425412Z
131,344.94,sell,0.01,2015-01-08T02:09:55.871625Z
132,336.23,buy,0.01,2015-01-08T02:10:36.783731Z
133,315.83,buy,0.01,2015-01-08T02:10:56.968532Z
134,324.28,sell,0.01,2015-01-08T02:11:13.487815Z
135,277.83,sell,0.01,2015-01-08T02:11:25.560694Z
136,298.77,sell,0.01,2015-01-08T02:11:46.075414Z
137,318.01,sell,0.01,2015-01-08T02:12:05.446052Z
138,344.92,sell,0.01,2015-01-08T02:12:20.938317Z
139,323.58,buy,0.01,2015-01-08T02:12:52.409055Z
140,299.64,buy,0.01,2015-01-08T02:13:08.465621Z
141,329.58,sell,0.01,2015-01-08T02:13:31.130276Z
142,310.01,buy,0.01,2015-01-08T02:13:42.073533Z
143,322.57,sell,0.01,2015-01-08T02:13:55.807461Z
144,317.91,buy,0.01,2015-01-08T02:14:07.054184Z
145,289.69,sell,0.01,2015-01-08T02:14:33.204553Z
146,323.78,sell,0.01,2015-01-08T02:14:39.919185Z
147,333.11,sell,0.01,2015-01-08T02:14:54.221483Z
148,298.13,buy,0.01,2015-01-08T02:15:23.75386Z
149,304.57,buy,0.01,2015-01-08T02:15:34.811014Z
150,270.93,sell,0.01,2015-01-08T02:16:08.032039Z
151,298.09,sell,0.01,2015-01-08T02:16:18.176335Z
152,306.6,sell,0.01,2015-01-08T02:16:35.981337Z
153,280.81,sell,0.01,2015-01-08T02:16:44.61411Z
154,279.95,sell,0.01,2015-01-08T02:16:50.211094Z
155,275.19,sell,0.01,2015-01-08T02:17:00.89441Z
156,317.43,buy,0.01,2015-01-08T02:17:31.320758Z
157,339.22,sell,0.01,2015-01-08T02:18:02.51489Z
158,290.39,sell,0.01,2015-01-08T02:18:34.938074Z
159,335.29,buy,0.01,2015-01-08T02:19:09.357642Z
160,280.41,sell,0.01,2015-01-08T02:19:33.218439Z
161,304.59,sell,0.01,2015-01-08T02:19:47.283721Z
162,316.99,sell,0.01,2015-01-08T02:20:31.481103Z
163,300.51,buy,0.01,2015-01-08T02:20:54.64054Z
164,292.22,sell,0.01,2015-01-08T02:21:15.114157Z
165,331.57,sell,0.01,2015-01-08T02:21:51.528562Z
166,322.87,sell,0.01,2015-01-08T02:22:15.067083Z
167,333.05,sell,0.01,2015-01-08T02:22:36.40254Z
168,345.28,sell,0.01,2015-01-08T02:23:20.568711Z
169,310.41,buy,0.01,2015-01-08T02:23:46.37152Z
170,326.37,buy,0.01,2015-01-08T02:23:58.337085Z
171,284.05,buy,0.01,2015-01-08T02:24:15.053239Z
172,329.88,buy,0.01,2015-01-08T02:24:48.070832Z
173,288.77,sell,0.01,2015-01-08T02:25:24.006661Z
174,273.01,buy,0.01,2015-01-08T02:25:59.357464Z
175,331.62,sell,0.01,2015-01-08T02:26:39.73508Z
176,301.81,buy,0.01,2015-01-08T02:27:05.978742Z
177,300.24,sell,0.01,2015-01-08T02:27:11.639558Z
178,285.21,sell,0.01,2015-01-08T02:27:40.451708Z
179,277.89,sell,0.01,2015-01-08T02:28:03.87Z
180,346.02,buy,0.01,2015-01-08T02:28:34.888561Z
181,306.39,buy,0.01,2015-01-08T02:28:58.190432Z
182,282.13,buy,0.01,2015-01-08T02:29:30.824374Z
183,346.71,buy,0.01,2015-01-08T02:30:10.600415Z
184,316.85,buy,0.01,2015-01-08T02:30:21.712248Z
185,283.53,buy,0.01,2015-01-08T02:30:53.135672Z
186,285.62,buy,0.01,2015-01-08T02:31:12.88756Z
187,291.03,sell,0.01,2015-01-08T02:31:28.272415Z
188,333.07,buy,0.01,2015-01-08T02:31:36.34472Z
189,314.24,sell,0.01,2015-01-08T02:32:12.643296Z
190,322.66,sell,0.01,2015-01-08T02:32:20.432914Z
191,304.91,buy,0.01,2015-01-08T02:32:39.481Z
192,309.11,sell,0.01,2015-01-08T02:33:16.836966Z
193,273.7,sell,0.01,2015-01-08T02:33:38.483497Z
194,325.87,buy,0.01,2015-01-08T02:33:48.307955Z
195,331.67,buy,0.01,2015-01-08T02:34:27.458821Z
196,324.71,buy,0.01,2015-01-08T02:34:58.25039Z
197,323.19,buy,0.01,2015-01-08T02:35:26.77399Z
198,341.49,sell,0.01,2015-01-08T02:36:06.266272Z
199,269.06,buy,0.01,2015-01-08T02:36:21.286405Z
200,321.54,buy,0.01,2015-01-08T02:37:00.842736Z
201,273.29,buy,0.01,2015-01-08T02:37:21.128529Z
202,315.09,sell,0.01,2015-01-08T02:37:32.691148Z
203,280.25,sell,0.01,2015-01-08T02:38:12.457201Z
204,284.57,sell,0.01,2015-01-08T02:38:32.379677Z
205,279.08,sell,0.01,2015-01-08T02:38:49.376176Z
206,325.59,buy,0.01,2015-01-08T02:39:17.262555Z
207,316.44,buy,0.01,2015-01-08T02:39:23.36154Z
208,296.35,buy,0.01,2015-01-08T02:40:00.787229Z
209,317.23,buy,0.01,2015-01-08T02:40:12.523576Z
210,272.87,buy,0.01,2015-01-08T02:40:47.415016Z
211,326.34,sell,0.01,2015-01-08T02:41:18.40761Z
212,348.43,sell,0.01,2015-01-08T02:41:56.802677Z
213,291.96,sell,0.01,2015-01-08T02:42:27.654153Z
214,305.78,buy,0.01,2015-01-08T02:42:52.576578Z
215,346.2,buy,0.01,2015-01-08T02:43:00.856576Z
216,306.42,buy,0.01,2015-01-08T02:43:12.009329Z
217,308.63,buy,0.01,2015-01-08T02:43:17.591315Z
218,330.98,buy,0.01,2015-01-08T02:43:43.595052Z
219,320.94,sell,0.01,2015-01-08T02:44:20.552199Z
220,301.01,buy,0.01,2015-01-08T02:44:47.53211Z
221,328.21,buy,0.01,2015-01-08T02:45:15.913765Z
222,294.47,buy,0.01,2015-01-08T02:45:52.016386Z
223,297.48,sell,0.01,2015-01-08T02:46:14.416441Z
224,311.56,sell,0.01,2015-01-08T02:46:35.344008Z
225,275.67,sell,0.01,2015-01-08T02:46:57.276154Z
226,273.7,buy,0.01,2015-01-08T02:47:03.570147Z
227,302.61,buy,0.01,2015-01-08T02:47:27.702528Z
228,344.06,sell,0.01,2015-01-08T02:47:50.382044Z
229,323.76,sell,0.01,2015-01-08T02:47:58.630346Z
230,342.13,sell,0.01,2015-01-08T02:48:26.913301Z
231,322.25,buy,0.01,2015-01-08T02:48:42.568936Z
232,271.28,buy,0.01,2015-01-08T02:48:55.402005Z
233,271.24,buy,0.01,2015-01-08T02:49:11.058684Z
234,291.83,buy,0.01,2015-01-08T02:49:20.722933Z
235,316.3,buy,0.01,2015-01-08T02:49:45.471922Z
236,326.6,sell,0.01,2015-01-08T02:50:30.299467Z
237,296.44,sell,0.01,2015-01-08T02:51:13.850509Z
238,326.9,sell,0.01,2015-01-08T02:51:24.793945Z
239,292.0,buy,0.01,2015-01-08T02:51:50.40787Z
240,297.31,sell,0.01,2015-01-08T02:52:34.814355Z
241,284.81,buy,0.01,2015-01-08T02:53:01.508772Z
242,299.03,sell,0.01,2015-01-08T02:53:42.580534Z
243,303.81,sell,0.01,2015-01-08T02:53:48.896156Z
244,340.58,sell,0.01,2015-01-08T02:54:27.932602Z
245,328.24,buy,0.01,2015-01-08T02:54:40.410372Z
246,344.76,sell,0.01,2015-01-08T02:54:56.198916Z
247,320.0,buy,0.01,2015-01-08T02:55:03.254116Z
248,281.57,sell,0.01,2015-01-08T02:55:20.792551Z
249,314.94,sell,0.01,2015-01-08T02:55:51.162393Z
250,306.93,buy,0.01,2015-01-08T02:55:56.891285Z
251,326.94,sell,0.01,2015-01-08T02:56:20.682475Z
252,300.51,sell,0.01,2015-01-08T02:56:48.76145Z
253,285.74,sell,0.01,2015-01-08T02:57:28.382345Z
254,298.45,buy,0.01,2015-01-08T02:58:12.091598Z
255,273.55,buy,0.01,2015-01-08T02:58:56.559324Z
256,271.84,sell,0.01,2015-01-08T02:59:34.942469Z
257,284.11,sell,0.01,2015-01-08T03:00:11.878797Z
258,274.73,sell,0.01,2015-01-08T03:00:47.327043Z
259,281.69,buy,0.01,2015-01-08T03:01:11.379342Z
260,283.63,sell,0.01,2015-01-08T03:01:27.611926Z
261,298.43,buy,0.01,2015-01-08T03:02:09.878574Z
262,271.17,buy,0.01,2015-01-08T03:02:34.934668Z
